order_id,order_date,user_id,store_id
fd70d256-b81b-40d9-ae7c-33b5411aa524,2023-03-24 23:32:06,255cea8f-b5e8-4395-911f-74d9d505c063,fe17e45e-e5df-4538-86d0-62187f3b3bcb
048e9a3a-2619-4831-8465-f4a14059b958,2021-06-01 03:10:18,de2912a7-84b9-45d9-a8e0-081edfee330d,7c6c874b-111e-4101-b716-bc64ae8f4261
30b205dc-cb9e-4b25-9981-f99565f45a69,2023-02-12 02:22:16,5b0b5c20-cb76-44be-8459-144363b2830e,7c6c874b-111e-4101-b716-bc64ae8f4261
695fdcdc-1fbc-4502-a680-c2f7ad70a20f,2023-01-16 01:20:28,d412f571-fdb0-465f-a143-ea9921a1c157,256bc37f-3fa3-4ebc-b48c-f6f1456b3f9a
17307b0b-3914-4a0c-95f7-29b5e0b4662f,2021-10-27 06:02:06,e28aa1c8-b203-49f2-889a-47d7971ecbf4,7c6be503-4110-488b-8b9d-5dff8c1020c9
06d2bb13-d5d7-49b9-b6b5-f1d1de287305,2022-01-03 12:36:50,3ddd6819-4c1c-42b7-b59a-424cfaec97bf,b434ee03-6948-49c9-802c-05ae6e196ba7
e4027a8c-90fe-4a8c-b532-786428e0e852,2022-06-26 15:32:27,0b61a83c-7395-42ab-aab7-ec2b2deaaa82,78d3c5c1-40a1-4c80-985e-95489f2a87a0
53307916-e454-4f2e-9bda-cd4e2739f648,2023-04-27 20:10:10,5d9dfd8f-0670-481b-969a-9aaf06378c5b,c0535463-2f62-4e04-b433-8ac6f177992b
93c7b129-8cf7-42d5-b1e2-948b1ba93566,2021-11-15 16:30:01,15b94179-78e1-490c-a4ea-1c3269aca6e0,c0535463-2f62-4e04-b433-8ac6f177992b
a8475eb4-9591-4811-b244-e24e2af58eec,2022-08-11 05:10:51,c3586f79-a391-4726-a1ad-4a8d56740439,eb108e5c-cfe3-4add-bf57-d80b46890b7b
0dc82908-7a8a-45d8-a329-62df63d23625,2021-12-27 12:34:29,cbb16fba-25d8-4824-a28b-69e3f61d50da,176c2387-facc-4453-8985-35e0c56eec1b
f7a6688d-7904-4745-b054-5915967eea92,2023-04-16 04:20:47,15b94179-78e1-490c-a4ea-1c3269aca6e0,256bc37f-3fa3-4ebc-b48c-f6f1456b3f9a
a252ab64-516a-4729-9323-93fd4ca6d60a,2021-02-23 20:21:53,ec58e053-fb1d-463a-9b33-d640c6bf5941,bcf6671d-ea8d-4dea-98e5-83acd7d7981c
ef976e18-3afe-4738-9bb5-bf6f8cdbd53e,2023-06-23 20:30:29,e762a883-ff77-444e-8f1a-66c717ca4aa9,fe17e45e-e5df-4538-86d0-62187f3b3bcb
027a3ff3-a4ae-4757-88d2-0c79ebb4e25e,2022-08-15 17:58:51,02858ad2-eb31-4564-bccf-a6013051e9a2,9f7753ad-502d-4cf7-a8fb-7563e4212fbd
2296065b-d1d8-49c2-8706-052ef3661baf,2022-01-22 10:22:06,45860e9f-37a2-431d-bf2e-7834472a137a,78d3c5c1-40a1-4c80-985e-95489f2a87a0
326abd7c-6458-4332-b145-b62a7a5b8bce,2022-10-13 11:24:10,1a31c8e5-9b58-4866-bea9-dac53f4c9ab4,eb108e5c-cfe3-4add-bf57-d80b46890b7b
36ced1e9-cfd0-4380-8934-713225ff3676,2021-11-02 12:22:24,b630d482-03e9-4173-b700-ba62e0a432b1,7c6be503-4110-488b-8b9d-5dff8c1020c9
530a9405-b92e-4ffd-91a2-738175745b9b,2022-07-02 22:13:28,75407f8d-3c25-4e9c-8564-60111d417505,b02b8453-2cf0-447f-b8d6-ff3d578b67d1
88192908-64f1-48aa-b12e-5a2bb0f70b2b,2023-08-13 04:16:48,c580e837-89c4-4a3b-9d8f-389dd83ca51e,31263d2e-b244-4aff-8808-02127ab5a77c
